Location,SMM,SMMRace,SMMPercent,RiskFactor1,AgeRace,Ageover35Percent,RiskFactor2,BleedingDisorderRace,BleedingDisorderPercent,RiskFactor3,AsthmaRace,AsthmaPercent,RiskFactor4,PreclampsiaRace,PreclampsiaPercent,RiskFactor5,DiabetesRace,DiabetesPercent,RiskFactor6,Race,Percent,RiskFactor7,PretermRace,PretermPercent,
Phoenix-Mesa-Scottsdale_AZ,SMM_Rate_per_10000,Overall,70,Age_>=_35_at_Delivery_per_100,Overall,21.2,Bleeding_Disorder,Overall,1.8,Asthma_per_100,Overall,5.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,8.9,Preexisting_Diabetes_per_100,Overall,1.6,Cardiac_Disease_per_100,Overall,1.1,Current_Birth_Preterm_per100,Overall,8.6,
Seattle-Tacoma-Bellevue_WA,SMM_Rate_per_10000,Overall,72,Age_>=_35_at_Delivery_per_100,Overall,31.1,Bleeding_Disorder,Overall,3.1,Asthma_per_100,Overall,5.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,8.7,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.1,Current_Birth_Preterm_per100,Overall,7.5,
Minneapolis-St._Paul-Bloomington_MN-WI,SMM_Rate_per_10000,Overall,98,Age_>=_35_at_Delivery_per_100,Overall,25,Bleeding_Disorder,Overall,2.7,Asthma_per_100,Overall,6.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.7,Preexisting_Diabetes_per_100,Overall,1.1,Cardiac_Disease_per_100,Overall,1.1,Current_Birth_Preterm_per100,Overall,8.1,
San_Diego-Carlsbad_CA,SMM_Rate_per_10000,Overall,79,Age_>=_35_at_Delivery_per_100,Overall,35.7,Bleeding_Disorder,Overall,2.5,Asthma_per_100,Overall,5.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,5.9,Preexisting_Diabetes_per_100,Overall,1.2,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,8.6,
St._Louis_MO-IL,SMM_Rate_per_10000,Overall,51,Age_>=_35_at_Delivery_per_100,Overall,20.2,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,5.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,11.2,Preexisting_Diabetes_per_100,Overall,1.2,Cardiac_Disease_per_100,Overall,1.4,Current_Birth_Preterm_per100,Overall,9.9,
Tampa-St._Petersburg-Clearwater_FL,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,25.4,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,5.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.5,Preexisting_Diabetes_per_100,Overall,1.3,Cardiac_Disease_per_100,Overall,1.4,Current_Birth_Preterm_per100,Overall,8.6,
Baltimore-Columbia-Towson_MD,SMM_Rate_per_10000,Overall,59,Age_>=_35_at_Delivery_per_100,Overall,28,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,10.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.6,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,2.1,Current_Birth_Preterm_per100,Overall,9.2,
Denver-Aurora-Lakewood_CO,SMM_Rate_per_10000,Overall,87,Age_>=_35_at_Delivery_per_100,Overall,29.6,Bleeding_Disorder,Overall,2.6,Asthma_per_100,Overall,6.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,11.6,Preexisting_Diabetes_per_100,Overall,1.1,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,8.9,
Pittsburgh_PA,SMM_Rate_per_10000,Overall,60,Age_>=_35_at_Delivery_per_100,Overall,22.2,Bleeding_Disorder,Overall,2.3,Asthma_per_100,Overall,6.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,8.1,Preexisting_Diabetes_per_100,Overall,0.9,Cardiac_Disease_per_100,Overall,0.8,Current_Birth_Preterm_per100,Overall,7.2,
Portland-Vancouver-Hillsboro_OR-WA,SMM_Rate_per_10000,Overall,52,Age_>=_35_at_Delivery_per_100,Overall,27.4,Bleeding_Disorder,Overall,2.8,Asthma_per_100,Overall,7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,12.1,Preexisting_Diabetes_per_100,Overall,1.2,Cardiac_Disease_per_100,Overall,1.3,Current_Birth_Preterm_per100,Overall,8,
Charlotte-Concord-Gastonia_NC-SC,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,23.9,Bleeding_Disorder,Overall,3,Asthma_per_100,Overall,5.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.8,Preexisting_Diabetes_per_100,Overall,2,Cardiac_Disease_per_100,Overall,1.4,Current_Birth_Preterm_per100,Overall,9.5,
Sacramento--Roseville--Arden-Arcade_CA,SMM_Rate_per_10000,Overall,111,Age_>=_35_at_Delivery_per_100,Overall,27.7,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,7.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,7.1,Preexisting_Diabetes_per_100,Overall,1.1,Cardiac_Disease_per_100,Overall,1.2,Current_Birth_Preterm_per100,Overall,7.9,
San_Antonio-New_Braunfels_TX,SMM_Rate_per_10000,Overall,53,Age_>=_35_at_Delivery_per_100,Overall,21.3,Bleeding_Disorder,Overall,1.4,Asthma_per_100,Overall,3.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.1,Preexisting_Diabetes_per_100,Overall,1.8,Cardiac_Disease_per_100,Overall,0.6,Current_Birth_Preterm_per100,Overall,9.9,
Orlando-Kissimmee-Sanford_FL,SMM_Rate_per_10000,Overall,79,Age_>=_35_at_Delivery_per_100,Overall,26.2,Bleeding_Disorder,Overall,2.5,Asthma_per_100,Overall,4.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.4,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.3,Current_Birth_Preterm_per100,Overall,9.4,
Cincinnati_OH-KY-IN,SMM_Rate_per_10000,Overall,54,Age_>=_35_at_Delivery_per_100,Overall,19.8,Bleeding_Disorder,Overall,3.5,Asthma_per_100,Overall,5.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.5,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.2,Current_Birth_Preterm_per100,Overall,8.3,
Cleveland-Elyria_OH,SMM_Rate_per_10000,Overall,122,Age_>=_35_at_Delivery_per_100,Overall,22.8,Bleeding_Disorder,Overall,3.2,Asthma_per_100,Overall,5.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.9,Preexisting_Diabetes_per_100,Overall,1.2,Cardiac_Disease_per_100,Overall,1.8,Current_Birth_Preterm_per100,Overall,8.2,
Kansas_City_MO-KS,SMM_Rate_per_10000,Overall,65,Age_>=_35_at_Delivery_per_100,Overall,19.6,Bleeding_Disorder,Overall,2.5,Asthma_per_100,Overall,4.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.5,Preexisting_Diabetes_per_100,Overall,1.1,Cardiac_Disease_per_100,Overall,1.2,Current_Birth_Preterm_per100,Overall,8.9,
Las_Vegas-Henderson-Paradise_NV,SMM_Rate_per_10000,Overall,60,Age_>=_35_at_Delivery_per_100,Overall,21.9,Bleeding_Disorder,Overall,1.5,Asthma_per_100,Overall,4.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,7.4,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,0.7,Current_Birth_Preterm_per100,Overall,9.5,
Columbus_OH,SMM_Rate_per_10000,Overall,61,Age_>=_35_at_Delivery_per_100,Overall,20.7,Bleeding_Disorder,Overall,1.8,Asthma_per_100,Overall,4.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.1,Preexisting_Diabetes_per_100,Overall,1.2,Cardiac_Disease_per_100,Overall,0.9,Current_Birth_Preterm_per100,Overall,8.4,
Indianapolis-Carmel-Anderson_IN,SMM_Rate_per_10000,Overall,38,Age_>=_35_at_Delivery_per_100,Overall,19.4,Bleeding_Disorder,Overall,2.6,Asthma_per_100,Overall,5.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,12,Preexisting_Diabetes_per_100,Overall,1.3,Cardiac_Disease_per_100,Overall,0.9,Current_Birth_Preterm_per100,Overall,8.8,
San_Jose-Sunnyvale-Santa_Clara_CA,SMM_Rate_per_10000,Overall,80,Age_>=_35_at_Delivery_per_100,Overall,35.6,Bleeding_Disorder,Overall,3.2,Asthma_per_100,Overall,3.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,8,Preexisting_Diabetes_per_100,Overall,1,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,7.2,
Austin-Round_Rock_TX,SMM_Rate_per_10000,Overall,88,Age_>=_35_at_Delivery_per_100,Overall,28.2,Bleeding_Disorder,Overall,2.1,Asthma_per_100,Overall,4.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.3,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,0.7,Current_Birth_Preterm_per100,Overall,8.7,
Virginia_Beach-Norfolk-Newport_News_VA-NC,SMM_Rate_per_10000,Overall,77,Age_>=_35_at_Delivery_per_100,Overall,21.2,Bleeding_Disorder,Overall,1.7,Asthma_per_100,Overall,7.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.6,Preexisting_Diabetes_per_100,Overall,1.6,Cardiac_Disease_per_100,Overall,1.5,Current_Birth_Preterm_per100,Overall,10,
Nashville-Davidson--Murfreesboro--Franklin_TN,SMM_Rate_per_10000,Overall,60,Age_>=_35_at_Delivery_per_100,Overall,21.3,Bleeding_Disorder,Overall,2.4,Asthma_per_100,Overall,4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.4,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.4,Current_Birth_Preterm_per100,Overall,10.3,
Providence-Warwick_RI-MA,SMM_Rate_per_10000,Overall,69,Age_>=_35_at_Delivery_per_100,Overall,26,Bleeding_Disorder,Overall,3,Asthma_per_100,Overall,5.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.8,Preexisting_Diabetes_per_100,Overall,1.3,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,8.1,
Milwaukee-Waukesha-West_Allis_WI,SMM_Rate_per_10000,Overall,41,Age_>=_35_at_Delivery_per_100,Overall,24,Bleeding_Disorder,Overall,2.2,Asthma_per_100,Overall,9.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.5,Preexisting_Diabetes_per_100,Overall,0.9,Cardiac_Disease_per_100,Overall,1.3,Current_Birth_Preterm_per100,Overall,8.7,
Jacksonville_FL,SMM_Rate_per_10000,Overall,56,Age_>=_35_at_Delivery_per_100,Overall,21.2,Bleeding_Disorder,Overall,2.3,Asthma_per_100,Overall,3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,11.4,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,0.9,Current_Birth_Preterm_per100,Overall,10.4,
Memphis_TN-MS-AR,SMM_Rate_per_10000,Overall,61,Age_>=_35_at_Delivery_per_100,Overall,18.3,Bleeding_Disorder,Overall,1.6,Asthma_per_100,Overall,1.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.2,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,10.6,
Oklahoma_City_OK,SMM_Rate_per_10000,Overall,49,Age_>=_35_at_Delivery_per_100,Overall,17.3,Bleeding_Disorder,Overall,1.9,Asthma_per_100,Overall,4.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,12,Preexisting_Diabetes_per_100,Overall,1.5,Cardiac_Disease_per_100,Overall,1,Current_Birth_Preterm_per100,Overall,9.9,
Louisville/Jefferson_County_KY-IN,SMM_Rate_per_10000,Overall,79,Age_>=_35_at_Delivery_per_100,Overall,17.5,Bleeding_Disorder,Overall,3.1,Asthma_per_100,Overall,7.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.9,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.4,Current_Birth_Preterm_per100,Overall,9.1,
Hartford-West_Hartford-East_Hartford_CT,SMM_Rate_per_10000,Overall,82,Age_>=_35_at_Delivery_per_100,Overall,27.9,Bleeding_Disorder,Overall,3,Asthma_per_100,Overall,9.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.8,Preexisting_Diabetes_per_100,Overall,0.8,Cardiac_Disease_per_100,Overall,1.7,Current_Birth_Preterm_per100,Overall,7.7,
Richmond_VA,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,23.1,Bleeding_Disorder,Overall,2.2,Asthma_per_100,Overall,5.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,13.3,Preexisting_Diabetes_per_100,Overall,1.7,Cardiac_Disease_per_100,Overall,1.1,Current_Birth_Preterm_per100,Overall,8.6,
New_Orleans-Metairie_LA,SMM_Rate_per_10000,Overall,101,Age_>=_35_at_Delivery_per_100,Overall,27.1,Bleeding_Disorder,Overall,4.1,Asthma_per_100,Overall,6.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.8,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.5,Current_Birth_Preterm_per100,Overall,10,
Buffalo-Cheektowaga-Niagara_Falls_NY,SMM_Rate_per_10000,Overall,42,Age_>=_35_at_Delivery_per_100,Overall,22.7,Bleeding_Disorder,Overall,3.6,Asthma_per_100,Overall,5.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.9,Preexisting_Diabetes_per_100,Overall,1.1,Cardiac_Disease_per_100,Overall,1.8,Current_Birth_Preterm_per100,Overall,8.2,
Raleigh_NC,SMM_Rate_per_10000,Overall,69,Age_>=_35_at_Delivery_per_100,Overall,27.1,Bleeding_Disorder,Overall,2.9,Asthma_per_100,Overall,5.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.3,Preexisting_Diabetes_per_100,Overall,1.4,Cardiac_Disease_per_100,Overall,1.1,Current_Birth_Preterm_per100,Overall,7.7,
Birmingham-Hoover_AL,SMM_Rate_per_10000,Overall,74,Age_>=_35_at_Delivery_per_100,Overall,17.6,Bleeding_Disorder,Overall,2.2,Asthma_per_100,Overall,3.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,9.9,Preexisting_Diabetes_per_100,Overall,1.5,Cardiac_Disease_per_100,Overall,1.5,Current_Birth_Preterm_per100,Overall,10.8,
Salt_Lake_City_UT,SMM_Rate_per_10000,Overall,71,Age_>=_35_at_Delivery_per_100,Overall,19.6,Bleeding_Disorder,Overall,2.2,Asthma_per_100,Overall,8.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Overall,10.7,Preexisting_Diabetes_per_100,Overall,1.3,Cardiac_Disease_per_100,Overall,1.6,Current_Birth_Preterm_per100,Overall,9.1,
National,SMM_Rate_per_10000,Black,104,Age_>=_35_at_Delivery_per_100,Black,22.2,Bleeding_Disorder,Black,2.5,Asthma_per_100,Black,7.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.6,Preexisting_Diabetes_per_100,Black,2.1,Cardiac_Disease_per_100,Black,1.4,Current_Birth_Preterm_per100,Black,12.4,
New_York-Newark-Jersey_City_NY-NJ-PA,SMM_Rate_per_10000,Black,127,Age_>=_35_at_Delivery_per_100,Black,34.1,Bleeding_Disorder,Black,3.1,Asthma_per_100,Black,7.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.8,Preexisting_Diabetes_per_100,Black,1.3,Cardiac_Disease_per_100,Black,1.4,Current_Birth_Preterm_per100,Black,11.3,
Los_Angeles-Long_Beach-Anaheim_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,41.2,Bleeding_Disorder,Black,3.7,Asthma_per_100,Black,6.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.8,Preexisting_Diabetes_per_100,Black,1.2,Cardiac_Disease_per_100,Black,1.2,Current_Birth_Preterm_per100,Black,7.7,
Chicago-Naperville-Elgin_IL-IN-WI,SMM_Rate_per_10000,Black,113,Age_>=_35_at_Delivery_per_100,Black,24.7,Bleeding_Disorder,Black,2.7,Asthma_per_100,Black,9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.7,Preexisting_Diabetes_per_100,Black,2.2,Cardiac_Disease_per_100,Black,1.6,Current_Birth_Preterm_per100,Black,11.9,
Dallas-Fort_Worth-Arlington_TX,SMM_Rate_per_10000,Black,23,Age_>=_35_at_Delivery_per_100,Black,18.3,Bleeding_Disorder,Black,1.7,Asthma_per_100,Black,7.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10.3,Preexisting_Diabetes_per_100,Black,2.3,Cardiac_Disease_per_100,Black,0.8,Current_Birth_Preterm_per100,Black,11.8,
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,SMM_Rate_per_10000,Black,188,Age_>=_35_at_Delivery_per_100,Black,23.9,Bleeding_Disorder,Black,4.3,Asthma_per_100,Black,14.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,19,Preexisting_Diabetes_per_100,Black,2.2,Cardiac_Disease_per_100,Black,2.4,Current_Birth_Preterm_per100,Black,12.3,
Houston-The_Woodlands-Sugar_Land_TX,SMM_Rate_per_10000,Black,69,Age_>=_35_at_Delivery_per_100,Black,21,Bleeding_Disorder,Black,2,Asthma_per_100,Black,4.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,13.7,Preexisting_Diabetes_per_100,Black,2.3,Cardiac_Disease_per_100,Black,1.1,Current_Birth_Preterm_per100,Black,16.2,
Washington-Arlington-Alexandria_DC-VA-MD-WV,SMM_Rate_per_10000,Black,79,Age_>=_35_at_Delivery_per_100,Black,33.8,Bleeding_Disorder,Black,3.3,Asthma_per_100,Black,7.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10.7,Preexisting_Diabetes_per_100,Black,1.1,Cardiac_Disease_per_100,Black,1.7,Current_Birth_Preterm_per100,Black,10.1,
Miami-Fort_Lauderdale-West_Palm_Beach_FL,SMM_Rate_per_10000,Black,160,Age_>=_35_at_Delivery_per_100,Black,26.1,Bleeding_Disorder,Black,2,Asthma_per_100,Black,3.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.2,Preexisting_Diabetes_per_100,Black,1.5,Cardiac_Disease_per_100,Black,1,Current_Birth_Preterm_per100,Black,12.7,
Atlanta-Sandy_Springs-Roswell_GA,SMM_Rate_per_10000,Black,62,Age_>=_35_at_Delivery_per_100,Black,25.2,Bleeding_Disorder,Black,2.7,Asthma_per_100,Black,7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.3,Preexisting_Diabetes_per_100,Black,1.8,Cardiac_Disease_per_100,Black,1.4,Current_Birth_Preterm_per100,Black,12.9,
Boston-Cambridge-Newton_MA-NH,SMM_Rate_per_10000,Black,279,Age_>=_35_at_Delivery_per_100,Black,31.4,Bleeding_Disorder,Black,2.9,Asthma_per_100,Black,9.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.1,Preexisting_Diabetes_per_100,Black,2.3,Cardiac_Disease_per_100,Black,1.4,Current_Birth_Preterm_per100,Black,11.8,
San_Francisco-Oakland-Hayward_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Detroit-Warren-Dearborn_MI,SMM_Rate_per_10000,Black,117,Age_>=_35_at_Delivery_per_100,Black,17.7,Bleeding_Disorder,Black,2.3,Asthma_per_100,Black,10.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.5,Preexisting_Diabetes_per_100,Black,1.6,Cardiac_Disease_per_100,Black,1.4,Current_Birth_Preterm_per100,Black,12.1,
